atencion,theta ,low alp,high alp ,low gamm,min gamm 
0,36842,9321,7551,864,892
54,18982,13971,3953,2151,2216
78,8412,4310,2522,542,732
93,32319,52016,10503,4763,2688
97,55030,22454,24308,7237,3411
84,56030,34357,21541,2240,1792
90,48652,28858,4605,1350,2801
93,16565,7599,6593,1900,2029
83,49670,3179,5094,2061,2673
94,39761,13627,13126,1561,2656
93,22707,15174,11189,2266,737
84,25985,7641,26161,2703,2726
77,8667,19161,9313,3925,1292
67,50401,7312,10804,1601,3325
78,10971,11321,7395,2302,1042
87,19173,6907,13515,2148,1501
90,27695,39560,17473,2566,867
93,40326,15506,14020,910,1083
90,12616,11411,8060,1921,1181
83,32392,7427,11833,1990,1704
88,48792,17885,13462,2973,948
83,13732,9346,14672,3176,588
70,5071,37700,40911,13387,6128
50,1324,14365,10206,863,919
60,17816,19956,5572,1611,1897
64,35860,17542,11749,3046,1456
61,34866,8534,6124,3206,1170
74,15613,2004,1685,310,861
61,29601,16883,11171,2969,1548
63,5043,6012,5056,2323,934
69,28992,10492,8941,1938,2947
69,22703,19560,18207,1375,3603
84,27328,3445,16934,2833,2310
63,53727,3503,725,954,1012
53,47376,18956,14892,6545,8329
75,15489,17180,10808,1982,2601
40,21337,47421,1902,4342,4611
56,49537,1992,23865,3803,1110
60,20068,34066,3885,1630,1333
48,14823,31490,12338,1458,2041
78,22998,14194,3614,1273,4145
77,16458,10360,15350,1452,2414
81,42884,8023,8575,4041,1006
81,11501,8309,11367,3799,1218
90,8602,6313,8560,3841,2067
90,17474,46377,13085,9217,3178
78,56993,46191,17978,6053,5535
84,16355,11934,5323,1503,1753
83,9775,15726,1969,5383,1533
78,34029,9082,3163,1696,1032
96,13612,2714,4027,3636,2559
94,14816,29174,11823,2863,1700
90,63372,17104,13305,6651,4680
94,41217,9111,37634,9823,36342
91,35093,6327,7264,5204,6838
88,13954,34356,8480,1953,2072
97,9089,17083,21453,1185,1788
87,36423,11513,25564,3643,2420
78,19839,6352,20963,4021,2338
81,11852,10337,10174,2305,1135
70,44043,8584,33079,1387,2704
64,9393,16985,937,595,1081
66,17709,5435,4235,6715,1134
77,12787,11787,17597,2832,1910
91,27876,17509,21038,4354,3630
93,16531,3403,3814,981,288
84,4897,35864,13326,2849,1400
80,28702,8690,5276,2765,2360
69,25056,37360,6480,3305,3040
67,41910,25999,10705,4162,3027
77,13830,3647,7303,897,1815
87,14652,5967,5172,3152,2158
94,48758,9232,15780,1894,1747
81,16026,18578,15526,3802,2118
81,37927,28676,14366,3640,1837
81,7025,24070,5231,2375,2131
67,26324,14812,6860,1643,908
87,7191,36477,8909,4454,1242
78,24273,7514,8968,5292,6006
64,6012,39648,2258,2948,981
51,7975,7691,4142,4609,3242
48,31337,8063,7992,1097,370
48,7281,21303,44043,1226,1434
53,9268,15360,9937,1622,2698
75,5253,41266,24384,3059,1600
64,19234,23355,28102,3733,2209
69,12039,24549,9533,2449,3254
67,16180,14577,7311,2307,2238
66,10372,24325,10368,3398,1772
77,39405,56809,24256,4047,3235
77,16529,24727,12222,4627,2201
87,7942,23416,7857,1763,2033
67,52483,1812,6414,6225,1704
83,49485,11676,11752,3021,1162
88,9314,5130,10992,2253,1306
69,51067,21361,7399,3711,2650
77,17161,20184,12289,1527,2291
78,13308,19645,9729,3349,1554
66,49805,27630,11388,2328,2083
78,21585,29056,6535,3119,1398
80,43577,15890,8632,2891,1243
69,65004,16645,6686,2287,2178
81,31668,7228,17985,1553,3707
80,7186,17322,14515,2190,3190
81,39034,6916,8979,2571,1750
88,15398,8094,7422,2562,2093
80,5183,17126,10303,1772,1523
81,15749,16652,2167,2874,1164
69,18616,19219,30436,18110,11046
47,44654,21101,7022,5187,4173
56,4338,11376,8236,17351,5964
54,26410,22260,14439,2584,4626
70,39632,19174,22702,7260,2358
94,12870,3950,15710,2805,3453
96,20419,20902,28461,2127,2304
96,16833,10396,7564,1948,1495
91,22816,12871,10891,3173,1385
66,58616,4104,3468,759,594
56,18633,26014,9200,3199,1796
48,30665,16935,34975,3602,2265
30,24246,9089,10748,1864,1610
60,3480,18066,27102,2024,1407
69,6903,14942,7637,3045,1831
84,3771,9950,6126,1277,1836
93,8166,37620,18855,2050,1134
87,51338,17767,6682,3245,2963
88,22927,17278,18712,1847,3176
80,8016,11676,14536,2299,2619
84,16874,11723,35942,3912,1162
84,29432,4575,1635,903,578
74,7829,2918,2858,2965,3398
56,17093,2455,381,213,186
41,53058,23707,20788,3287,2926
50,9110,4628,7739,1777,1598
54,52704,12312,15955,1810,2481
48,31978,9336,15656,3183,2464
64,24972,23454,16868,2401,2285
57,56714,11867,5027,1580,1768
56,62136,26844,12273,6330,6202
69,34789,47936,6432,5135,5274
74,9698,6430,10810,1148,2162
64,20751,32715,21204,2261,3837
60,36496,17823,6053,2389,1335
67,16224,13737,9197,1538,1890
61,42993,1046,18711,2986,6063
70,19986,13570,8422,1366,2601
87,19356,1923,26589,3598,1524
90,22908,27772,4079,3084,1143
90,37824,42025,48052,3249,2218
78,42995,4953,16043,2680,1795
74,15889,10581,8089,2123,2438
88,8816,2048,12023,4625,3102
87,65421,31733,5757,4400,3536
90,13854,4777,5230,2474,1824
84,17661,11063,13024,1533,713
66,22009,7289,4407,399,154
83,10942,7947,2975,3201,1651
75,58178,7549,6185,2990,2208
60,8205,3815,14676,2237,2108
70,32626,15299,44135,7638,2912
67,9328,18420,8217,1751,1649
66,38364,18074,10073,2298,1235
81,35119,10736,18065,1998,2500
78,11080,6436,8136,778,1699
75,57975,13009,31994,6059,1384
84,15641,7064,12357,2008,3165
90,12376,5042,10193,2560,1684
70,11615,19820,13808,3998,5253
84,7352,10738,2840,8100,4757
74,43981,15061,15014,3562,2082
80,16056,7877,6902,2339,1413
81,63092,20166,9801,2195,1024
63,8280,33760,18618,1630,1391
48,55897,21713,21247,2392,1186
34,22957,5640,2245,744,1157
43,12247,1660,11629,2986,2112
30,32341,1476,1116,1129,592
63,16322,1562,10669,7545,2245
66,17743,11135,6760,4171,1454
70,9713,4886,24843,2285,2399
93,16327,20186,7854,1663,1854
69,55460,3950,5889,1624,1271
69,35806,6644,32684,3768,1830
69,13032,3715,12067,4473,807
66,51671,13510,11970,2288,5064
84,7466,10491,8023,9207,4893
90,29592,18344,5143,3110,2841
80,25187,4221,7530,1132,1470
81,22647,32891,13336,4896,3633
61,34727,15115,18079,4147,3788
63,47496,14594,9137,3105,1855
69,20195,10903,12158,4956,1774
70,20176,10939,8688,3631,1801
93,12881,22087,13882,5151,3182
81,47905,11397,5575,652,2014
81,43787,18709,9054,1883,6339
81,13765,9017,34887,2556,2553
57,8792,28561,22993,2560,2830
66,13752,27177,18067,2698,2281
69,20206,4490,5424,4202,689
56,45431,5589,11078,1690,1839
57,10572,52253,5622,3414,1836
64,4377,3894,5946,2015,1675
64,20684,28327,10204,4059,1718
57,14856,7385,15728,4746,4925
78,13304,10725,10254,2763,2283
75,4159,10147,7481,2505,1198
75,3189,7657,9531,5527,911
80,38805,39818,35187,3502,4488
67,3238,13132,11277,4754,3843
60,33618,20754,8214,3534,1631
51,18638,12060,8271,2025,1730
56,58719,44918,18933,2264,3138
57,9230,14404,20260,4431,1694
57,47340,9481,12947,4800,2251
48,32284,15219,6211,1610,2231
61,14025,15565,22267,2094,1511
61,24614,40294,21258,3576,2080
66,29087,7062,18864,2534,2209
84,32047,1555,16251,1741,2096
90,10849,4875,6213,2596,1664
81,46043,56452,6464,7946,2482
80,22758,10839,19945,5293,1901
81,5282,14789,4540,1565,1671
61,59482,21235,26834,3626,1005
67,19606,14520,25151,3840,6097
67,45745,34388,8048,2535,4490
47,27301,43785,24749,10116,54348
63,12142,6372,6069,3065,6240
69,8627,11415,15334,2733,3793
64,13929,15392,11566,1336,2370
67,42965,22253,14445,5633,2854
56,47603,12629,14964,3363,8962
57,19135,1378,9475,1891,1425
56,3180,28134,16670,2967,1299
78,8865,2968,12625,4892,2657
90,16169,3271,2084,2170,3042
74,53925,7952,1109,901,578
78,56992,64424,18090,6993,3301
81,16646,10871,20730,4969,8787
80,18427,16894,7366,3970,1865
94,41214,17837,13167,2188,1953
87,33918,65063,25754,5996,2829
70,17103,18607,11253,2673,3737
63,20357,8367,10092,2762,1907
64,21770,21992,21613,3068,6500
81,3976,13295,13821,3246,1793
80,62889,27826,12311,3151,8071
61,59412,44136,29145,31482,3017
30,27631,24644,251,38499,40029
16,50204,25269,33561,5565,4605
24,43618,20256,17778,8081,3950
27,14962,36431,19359,3464,2844
54,4893,21471,15891,3138,2713
57,13414,26125,11869,4100,2802
48,21221,8297,13818,4509,4238
63,8428,8585,15873,3142,4336
54,45332,10904,19132,6194,5006
56,41242,4346,16620,2146,2663
60,15607,14039,15189,1565,2045
63,9883,17266,24446,4444,4065
61,54853,11861,5144,3746,6475
70,43510,10902,18019,4063,3069
77,28423,3325,21030,1531,2821
77,15235,8058,14638,2541,1641
87,1442,4154,5790,6304,1569
81,2867,15820,23700,13280,5123
61,1474,7300,12345,1208,1099
69,26673,5448,8212,10358,9877
63,11699,24070,32718,3975,3364
64,22125,773,1816,3725,4125
75,40437,45034,17688,6001,7187
47,39326,1843,6543,3120,1441
51,17573,30736,21937,4595,6364
50,4020,31484,11324,13478,4337
61,21017,61086,11661,4693,3901
69,18608,23568,13668,3977,1103
63,55358,41395,23564,3135,4763
57,31650,17772,23007,6004,1984
61,22699,12202,11367,2233,1964
66,1183,15469,9031,2520,3197
87,12527,19206,6815,7605,1788
96,65196,22838,14073,1660,802
90,11061,8126,3819,4002,2022
75,22792,11648,15953,3002,1025
80,8232,5344,10772,2068,1234
78,47829,3919,16431,3865,1977
66,39405,22000,12246,1920,2111
74,18764,7104,34839,2679,1679
67,5280,9434,17401,1980,1455
78,37625,20653,31067,5343,3649
83,3259,13681,20502,2316,5517
88,6459,4526,9525,3527,349
67,57833,51128,18035,2057,3696
64,27041,10230,4457,1757,1801
69,18842,16283,23825,4376,1158
74,10816,10702,11946,1510,1170
75,20728,21571,14547,4067,843
83,28254,21273,23362,1501,1572
77,17352,7377,19909,1379,2493
60,38832,24285,11099,3559,2337
56,13648,54706,13911,3854,7211
57,5284,8962,6316,4533,2626
75,14102,9385,8723,2082,2171
83,53242,11184,11572,1396,2645
93,7878,5158,31388,7951,5256
84,5062,5704,4416,8461,1709
93,15604,1434,14986,2550,1856
77,24425,5575,15896,2732,3253
88,7535,21788,15554,1730,1674
77,21440,10149,10653,4405,1727
75,4183,7011,18377,3016,2083
77,26945,12976,17517,1974,2603
70,11626,24921,18985,2686,4594
67,50159,25807,4702,1757,1483
57,13097,30518,41050,2675,1466
61,55995,9917,7828,5295,1938
60,53090,6363,32491,4398,1655
61,47513,14141,27859,2538,2445
64,25363,24830,38298,7952,1744
66,4212,18543,9915,1278,1277
64,19149,18320,16174,5725,1109
66,31158,14853,21936,4062,1271
61,57479,37915,34290,2020,2398
60,23503,17683,6284,2652,1405
67,13219,36504,19602,1957,2009
66,51935,50764,9300,3528,1287
69,4934,34900,27159,3100,1626
63,567,11132,12418,3282,2454
63,34909,23287,33384,13456,4227
